Date,Location,TimeBlock,Attendance,Temperature_F,High_Risk_Location,Peak_Time,Is_Weekend,Hot_Day,Lifeguards_On_Duty,Saves
7/1/2025,Activity Pool,Morning,1099,76,1,0,0,0,4,1
7/1/2025,Activity Pool,Lunch,928,76,1,0,0,0,4,0
7/1/2025,Activity Pool,Afternoon,1341,76,1,1,0,0,5,2
7/1/2025,Shotgun Falls,Morning,1210,76,1,0,0,0,5,1
7/1/2025,Shotgun Falls,Lunch,951,76,1,0,0,0,4,2
7/1/2025,Shotgun Falls,Afternoon,928,76,1,1,0,0,4,2
7/1/2025,Wave Pool,Morning,937,76,1,0,0,0,4,1
7/1/2025,Wave Pool,Lunch,1101,76,1,0,0,0,4,1
7/1/2025,Wave Pool,Afternoon,1384,76,1,1,0,0,6,2
7/1/2025,Other,Morning,987,76,0,0,0,0,4,0
7/1/2025,Other,Lunch,1397,76,0,0,0,0,6,0
7/1/2025,Other,Afternoon,1008,76,0,1,0,0,4,0
7/2/2025,Activity Pool,Morning,1420,85,1,0,0,1,6,0
7/2/2025,Activity Pool,Lunch,1204,85,1,0,0,1,5,0
7/2/2025,Activity Pool,Afternoon,945,85,1,1,0,1,4,2
7/2/2025,Shotgun Falls,Morning,1457,85,1,0,0,1,6,0
7/2/2025,Shotgun Falls,Lunch,1004,85,1,0,0,1,4,1
7/2/2025,Shotgun Falls,Afternoon,1058,85,1,1,0,1,4,0
7/2/2025,Wave Pool,Morning,809,85,1,0,0,1,3,0
7/2/2025,Wave Pool,Lunch,1343,85,1,0,0,1,5,0
7/2/2025,Wave Pool,Afternoon,1462,85,1,1,0,1,6,0
7/2/2025,Other,Morning,1217,85,0,0,0,1,5,0
7/2/2025,Other,Lunch,1182,85,0,0,0,1,5,0
7/2/2025,Other,Afternoon,979,85,0,1,0,1,4,1
7/3/2025,Activity Pool,Morning,924,83,1,0,0,0,4,0
7/3/2025,Activity Pool,Lunch,1497,83,1,0,0,0,6,2
7/3/2025,Activity Pool,Afternoon,1412,83,1,1,0,0,6,1
7/3/2025,Shotgun Falls,Morning,942,83,1,0,0,0,4,0
7/3/2025,Shotgun Falls,Lunch,942,83,1,0,0,0,4,1
7/3/2025,Shotgun Falls,Afternoon,1496,83,1,1,0,0,6,0
7/3/2025,Wave Pool,Morning,1113,83,1,0,0,0,4,0
7/3/2025,Wave Pool,Lunch,1042,83,1,0,0,0,4,1
7/3/2025,Wave Pool,Afternoon,1396,83,1,1,0,0,6,1
7/3/2025,Other,Morning,863,83,0,0,0,0,3,0
7/3/2025,Other,Lunch,1308,83,0,0,0,0,5,0
7/3/2025,Other,Afternoon,1309,83,0,1,0,0,5,0
7/4/2025,Activity Pool,Morning,1012,74,1,0,0,0,4,0
7/4/2025,Activity Pool,Lunch,1458,74,1,0,0,0,6,1
7/4/2025,Activity Pool,Afternoon,1301,74,1,1,0,0,5,0
7/4/2025,Shotgun Falls,Morning,1275,74,1,0,0,0,5,0
7/4/2025,Shotgun Falls,Lunch,1104,74,1,0,0,0,4,0
7/4/2025,Shotgun Falls,Afternoon,1412,74,1,1,0,0,6,1
7/4/2025,Wave Pool,Morning,873,74,1,0,0,0,3,1
7/4/2025,Wave Pool,Lunch,1457,74,1,0,0,0,6,0
7/4/2025,Wave Pool,Afternoon,1329,74,1,1,0,0,5,0
7/4/2025,Other,Morning,1380,74,0,0,0,0,6,0
7/4/2025,Other,Lunch,1430,74,0,0,0,0,6,0
7/4/2025,Other,Afternoon,1023,74,0,1,0,0,4,0
7/6/2025,Activity Pool,Morning,1254,81,1,0,1,0,5,1
7/6/2025,Activity Pool,Lunch,1130,81,1,0,1,0,5,2
7/6/2025,Activity Pool,Afternoon,1429,81,1,1,1,0,6,1
7/6/2025,Shotgun Falls,Morning,938,81,1,0,1,0,4,1
7/6/2025,Shotgun Falls,Lunch,1156,81,1,0,1,0,5,1
7/6/2025,Shotgun Falls,Afternoon,919,81,1,1,1,0,4,3
7/6/2025,Wave Pool,Morning,941,81,1,0,1,0,4,0
7/6/2025,Wave Pool,Lunch,1305,81,1,0,1,0,5,1
7/6/2025,Wave Pool,Afternoon,1403,81,1,1,1,0,6,0
7/6/2025,Other,Morning,1126,81,0,0,1,0,5,1
7/6/2025,Other,Lunch,1209,81,0,0,1,0,5,1
7/6/2025,Other,Afternoon,1374,81,0,1,1,0,5,0
7/10/2025,Activity Pool,Morning,1190,77,1,0,0,0,5,0
7/10/2025,Activity Pool,Lunch,863,77,1,0,0,0,3,0
7/10/2025,Activity Pool,Afternoon,886,77,1,1,0,0,4,0
7/10/2025,Shotgun Falls,Morning,1458,77,1,0,0,0,6,0
7/10/2025,Shotgun Falls,Lunch,1442,77,1,0,0,0,6,0
7/10/2025,Shotgun Falls,Afternoon,1211,77,1,1,0,0,5,2
7/10/2025,Wave Pool,Morning,1338,77,1,0,0,0,5,1
7/10/2025,Wave Pool,Lunch,1486,77,1,0,0,0,6,1
7/10/2025,Wave Pool,Afternoon,1167,77,1,1,0,0,5,1
7/10/2025,Other,Morning,1033,77,0,0,0,0,4,0
7/10/2025,Other,Lunch,1022,77,0,0,0,0,4,0
7/10/2025,Other,Afternoon,1476,77,0,1,0,0,6,0
7/11/2025,Activity Pool,Morning,1376,73,1,0,0,0,6,1
7/11/2025,Activity Pool,Lunch,1008,73,1,0,0,0,4,0
7/11/2025,Activity Pool,Afternoon,1257,73,1,1,0,0,5,1
7/11/2025,Shotgun Falls,Morning,826,73,1,0,0,0,3,1
7/11/2025,Shotgun Falls,Lunch,1081,73,1,0,0,0,4,1
7/11/2025,Shotgun Falls,Afternoon,1074,73,1,1,0,0,4,1
7/11/2025,Wave Pool,Morning,1092,73,1,0,0,0,4,1
7/11/2025,Wave Pool,Lunch,1127,73,1,0,0,0,5,0
7/11/2025,Wave Pool,Afternoon,1168,73,1,1,0,0,5,1
7/11/2025,Other,Morning,1259,73,0,0,0,0,5,0
7/11/2025,Other,Lunch,1047,73,0,0,0,0,4,0
7/11/2025,Other,Afternoon,884,73,0,1,0,0,4,0
7/12/2025,Activity Pool,Morning,1368,74,1,0,1,0,5,1
7/12/2025,Activity Pool,Lunch,965,74,1,0,1,0,4,1
7/12/2025,Activity Pool,Afternoon,1323,74,1,1,1,0,5,1
7/12/2025,Shotgun Falls,Morning,1472,74,1,0,1,0,6,0
7/12/2025,Shotgun Falls,Lunch,1302,74,1,0,1,0,5,1
7/12/2025,Shotgun Falls,Afternoon,1349,74,1,1,1,0,5,1
7/12/2025,Wave Pool,Morning,1043,74,1,0,1,0,4,0
7/12/2025,Wave Pool,Lunch,1034,74,1,0,1,0,4,1
7/12/2025,Wave Pool,Afternoon,1446,74,1,1,1,0,6,1
7/12/2025,Other,Morning,1218,74,0,0,1,0,5,0
7/12/2025,Other,Lunch,1356,74,0,0,1,0,5,0
7/12/2025,Other,Afternoon,1131,74,0,1,1,0,5,0
7/13/2025,Activity Pool,Morning,1094,82,1,0,1,0,4,1
7/13/2025,Activity Pool,Lunch,1313,82,1,0,1,0,5,1
